hint_bs,hint_sl,runtime_bs,runtime_sl,perf
2,256,2,256,2.469
2,256,2,1024,1.706
2,256,2,2048,1.617
2,256,8,256,1.853
2,256,8,1024,1.752
2,256,8,2048,1.588
2,256,32,256,1.479
2,256,32,1024,1.806
2,256,32,2048,1.585
2,1024,2,256,2.367
2,1024,2,1024,1.311
2,1024,2,2048,1.463
2,1024,8,256,1.69
2,1024,8,1024,1.689
2,1024,8,2048,1.821
2,1024,32,256,1.28
2,1024,32,1024,1.732
2,1024,32,2048,1.834
2,2048,2,256,2.227
2,2048,2,1024,1.079
2,2048,2,2048,1.262
2,2048,8,256,1.398
2,2048,8,1024,1.538
2,2048,8,2048,1.696
2,2048,32,256,1.066
2,2048,32,1024,1.555
2,2048,32,2048,1.693
8,256,2,256,2.414
8,256,2,1024,1.084
8,256,2,2048,1.068
8,256,8,256,1.773
8,256,8,1024,1.279
8,256,8,2048,1.254
8,256,32,256,1.395
8,256,32,1024,1.316
8,256,32,2048,1.264
8,1024,2,256,2.252
8,1024,2,1024,1.616
8,1024,2,2048,1.615
8,1024,8,256,1.752
8,1024,8,1024,1.626
8,1024,8,2048,1.628
8,1024,32,256,1.373
8,1024,32,1024,1.674
8,1024,32,2048,1.634
8,2048,2,256,2.135
8,2048,2,1024,1.657
8,2048,2,2048,1.751
8,2048,8,256,1.55
8,2048,8,1024,1.662
8,2048,8,2048,1.794
8,2048,32,256,1.188
8,2048,32,1024,1.71
8,2048,32,2048,1.81
32,256,2,256,2.262
32,256,2,1024,1.613
32,256,2,2048,1.517
32,256,8,256,1.802
32,256,8,1024,1.669
32,256,8,2048,1.534
32,256,32,256,1.437
32,256,32,1024,1.728
32,256,32,2048,1.547
32,1024,2,256,2.269
32,1024,2,1024,1.649
32,1024,2,2048,1.67
32,1024,8,256,1.739
32,1024,8,1024,1.669
32,1024,8,2048,1.692
32,1024,32,256,1.381
32,1024,32,1024,1.728
32,1024,32,2048,1.705
32,2048,2,256,2.111
32,2048,2,1024,1.638
32,2048,2,2048,1.739
32,2048,8,256,1.517
32,2048,8,1024,1.652
32,2048,8,2048,1.792
32,2048,32,256,1.184
32,2048,32,1024,1.708
32,2048,32,2048,1.811
