,m,k,n,dtype,sparse_latency (ms),dense_latency (ms),speedup (d/s),correct
0,10240,2560,10240,torch.float16,1.7491548270266501,2.0593643002212048,1.1785255556968588,True
1,10240,3840,10240,torch.float16,2.2391945821791888,2.812151601538062,1.2571322633337527,True
2,10240,5120,10240,torch.float16,2.7205712001863867,3.710439084097743,1.3652094541496962,True
3,10240,6400,10240,torch.float16,3.208233418902382,4.607206294313073,1.437493130467173,True
4,10240,7680,10240,torch.float16,3.692846747860312,5.50691669806838,1.4927301323729247,True
5,10240,8960,10240,torch.float16,4.173450285000726,6.407948536798358,1.5369433076483956,True
6,10240,10240,10240,torch.float16,4.662810883866623,7.318843435496092,1.5711900957167682,True
7,10240,11520,10240,torch.float16,5.196890667378903,8.210589922964573,1.5814842064077446,True
8,10240,12800,10240,torch.float16,5.698931578658521,9.116065315902233,1.6012091486394233,True
9,10240,14080,10240,torch.float16,6.312279671151191,10.017481818795204,1.5885701874779656,True
10,10240,15360,10240,torch.float16,6.638644840149209,10.911158844828606,1.6452258354926472,True
11,10240,16640,10240,torch.float16,7.168206772115082,11.809197720140219,1.649088439223748,True
12,10240,17920,10240,torch.float16,7.61400219546631,12.7169793471694,1.67187978145007,True
13,10240,19200,10240,torch.float16,8.128232792578638,13.606502395123243,1.6756543820883187,True
14,10240,20480,10240,torch.float16,8.60355176459998,14.501589443534614,1.6872207467508709,True
