,time (hours),time (percentage),cost (USD),cost (percentage)
module: unknown,25.482082222222676,26.398640160980758,29.10583339444491,23.174468636270728
module: primTorch,14.429661141974853,14.948677616293113,18.292923796851404,14.565079894834195
module: decompositions,11.55442929012365,11.970027348450532,14.591518726728705,11.61796978995524
module: functorch,7.6568636111112465,7.932271211932484,11.722160062654567,9.333346585196256
module: inductor,6.450366172839508,6.682377602362983,7.820940365864196,6.227141300460266
oncall: distributed,6.41395211419752,6.644653776558342,15.091607069012353,12.016147071002584
oncall: jit,2.929079969135781,3.034435233103472,3.7205296287036833,2.9623373439348257
oncall: quantization,2.815798796296295,2.9170794812177214,2.86588817154321,2.28185995042366
module: nn,2.6144511111111046,2.708489577060876,2.9486199824073975,2.347732166831658
NNC,2.52552010802469,2.616359839421698,2.4894541378395054,1.9821379466085638
module: tests,1.8664516049382793,1.9335854843793416,2.1915364470370386,1.744931745084382
module: nvfuser,1.7055630092592644,1.7669099314831243,2.614674373518527,2.081840036737472
module: sparse,1.5821408179012366,1.6390484016000264,1.7216911768518537,1.3708344179181768
module: dataloader,0.9352702160493825,0.9689106907142223,1.459454868827161,1.1620382287401836
module: fx,0.8701022685185186,0.901398735376575,0.6557595501234569,0.5221248579733678
module: linear algebra,0.7306535030864219,0.756934176027318,0.8672605561111133,0.6905248952915272
module: mta,0.694247669753086,0.7192188713851709,0.7821659420987652,0.6227713822132485
module: ProxyTensor,0.6052646296296281,0.6270352250032158,0.8863350545061666,0.705712275732354
module: mkldnn,0.5880853240740741,0.6092380017770422,0.7336596913580249,0.5841500319423122
module: dynamo,0.5786977623456792,0.599512781447882,0.8969614274074065,0.7141731413663923
module: multiprocessing,0.4701897376543209,0.4871018617504363,0.6243414447530863,0.4971093262876932
module: cpp-extensions,0.4539950462962965,0.4703246680364236,0.6374566966666668,0.5075518719454332
module: optimizer,0.41588608024691354,0.43084497117054693,0.4812148377777779,0.3831499347315598
module: cuda,0.305344151234568,0.3163269902124331,0.3704072158024692,0.2949233677294742
oncall: mobile,0.25365015432098753,0.2627736262799378,0.22930166530864207,0.1825731694030099
module: serialization,0.24906813271604947,0.2580267952123764,0.32849242648148147,0.2615502305527694
module: autograd,0.2476747685185185,0.2565833134849791,0.2733536614197529,0.21764798029768445
module: tensor creation,0.1922518981481485,0.19916695328188178,0.21874013580246954,0.1741639329803704
module: distributions,0.15873237654320985,0.16444177731312562,0.16701778567901235,0.13298187973055547
module: dispatch,0.12949944444444442,0.1341573739980507,0.1549980122839506,0.12341156927821488
module: masked operators,0.08834376543209874,0.09152137779675694,0.10321796598765427,0.082183577534567
oncall: profiler,0.06341685185185184,0.06569787498445791,0.08760489765432095,0.06975223576526235
module: cpp,0.06019456790123459,0.06235968959728948,0.07614113858024694,0.06062463163465545
module: mps,0.0573159567901219,0.05937753852254749,0.0,0.0
module: typing,0.05154615740740744,0.05340020682818166,0.035489328703703686,0.02825709622605255
module: type promotion,0.04055952160493817,0.04201839577365959,0.04575837561728386,0.03643345394782034
module: meta tensors,0.03372337962962964,0.03493636650612334,0.039397037037037036,0.031368467853288326
oncall: pt2,0.03316435185185185,0.034357231213455665,0.037057831358024686,0.029505959815555777
oncall: r2p,0.02961263888888889,0.03067776767328302,0.04043253641975309,0.03219294683804782
module: fft,0.028674753086419747,0.029706147316847488,0.030993112962962966,0.02467714683056163
module: codegen,0.019716080246913573,0.02042524246191265,0.022420698395061722,0.017851671337430625
module: scatter & gather ops,0.016063842592592595,0.01664163848567549,0.01930916932098765,0.015374228690083635
module: ci,0.015697469135802465,0.01626208704376457,0.017198141790123453,0.013693399261792687
oncall: package/deploy,0.010996882716049382,0.011392426536491047,0.011326150308641975,0.00901803812109388
module: intel,0.0108758950617284,0.011267087110831579,0.00876215925925926,0.006976552850689658
module: vmap,0.009198487654320985,0.00952934550222415,0.010899633024691355,0.008678439138106933
module: nestedtensor,0.009088703703703696,0.009415612763175483,0.01030511660493826,0.008205076910796664
module: __torch_dispatch__,0.008709691358024687,0.009022967827691217,0.010143530740740734,0.008076420002363147
module: __torch_function__,0.008173919753086175,0.00846792520268515,0.008818575185184923,0.007021471994155929
module: functionalization,0.0050412962962962955,0.005222625282746722,0.006134197037037037,0.004884132844333928
module: named tensor,0.004706805555555553,0.004876103337444539,0.0058462962345678954,0.004654902228369099
oncall: unsure,0.004377469135802468,0.0045349211074702,0.00571093111111111,0.00454712263774611
module: fx.passes,0.00413367283950617,0.004282355769897702,0.004907829012345675,0.003907681596930048
module: pytree,0.0033829783950617277,0.0035046598054582767,0.0038851545061728368,0.0030934139569270156
oncall: run_tests,0.003054984567901234,0.003164868459416637,0.004150919629629628,0.0033050198379439635
module: cuda graphs,0.0021264197530864197,0.002202904354651815,0.0025982067901234567,0.002068728318212447
module: numpy,0.0007481018518518517,0.0007750101196038669,0.0009898966666666662,0.000788169469120714
module: complex,0.0003930092592592591,0.00040714530016196704,0.0005966398148148147,0.0004750529039383308

